City,Average Education Index,Crime Index,Population,Average Education Index Rank,Crime Index Rank
Balsam Lake,13.25,1887,829,313,282
Seymour,13.24,565,3449,314,87
Rhinelander,13.24,1389,7642,315,250
Eagle River,13.24,2193,1647,318,291
Wisconsin Dells,13.23,4670,2369,321,297
Portage,13.21,1149,10227,325,225
Hayward,13.21,2407,1951,327,293
Mishicot,13.2,107,1349,329,4
Spooner,13.19,1592,2634,330,269
Wisconsin Rapids,13.19,1601,18162,331,270
Monroe,13.19,993,10807,332,207
Green Bay,13.19,1619,104574,333,271
South Milwaukee,13.19,1000,21210,335,208
Durand,13.19,280,1755,336,21
Gilman,13.19,492,414,338,65
Luxemburg,13.18,319,2557,341,25
Manitowoc,13.18,1024,33443,342,213
Beaver Dam,13.18,969,16331,343,202
Tomah,13.18,1672,9281,346,277
Bangor,13.17,559,1523,348,85
Campbellsport,13.17,308,1906,350,23
Baraboo,13.15,1477,12046,355,258
Amery,13.14,950,2890,358,200
Rice Lake,13.14,1633,8353,359,272
Two Rivers,13.13,833,11577,362,168
Marathon,13.13,879,1472,366,181
Marinette,13.11,1304,10890,371,245
Black River Falls,13.09,1403,3591,376,251
Cudahy,13.09,1493,18321,377,261
Omro,13.08,510,3541,379,71
Waupaca,13.07,1486,6016,380,259
Reedsburg,13.07,896,9411,383,189
Grantsburg,13.06,955,1227,387,201
Brillion,13.06,367,3183,391,33
Prairie Du Chien,13.05,1112,5829,392,223
Hurley,13.04,1919,1570,398,284
Dane,13.03,8,1154,399,2
Medford,13.03,1340,4349,403,248
Lomira,13.03,936,2340,404,199
Cashton,13.03,135,1034,406,6
Shawano,13.03,1879,9202,407,281
Ladysmith,13.02,1051,3327,409,219
Alma,13.02,33,766,410,3
Cornell,13.02,798,1401,411,160
Phillips,13.01,1719,1505,413,278
Chetek,13.01,785,2413,414,157
Sheboygan,13,1563,48918,416,268
Milwaukee,12.99,3757,598078,418,295
Brodhead,12.99,789,3285,419,158
Oconto,12.99,1535,4510,421,266
Hillsboro,12.98,197,1412,422,15
Sparta,12.97,1422,9610,427,253
Peshtigo,12.97,706,3481,429,128
Mondovi,12.95,598,2723,436,96
Montello,12.94,925,1494,438,198
Jefferson,12.94,1270,7968,440,242
Kiel,12.94,766,3757,441,150
Oconto Falls,12.93,865,2859,442,176
Clinton,12.92,519,1997,444,73
Spencer,12.92,474,1914,447,53
Neillsville,12.91,897,2287,453,190
Horicon,12.91,614,3658,455,104
Park Falls,12.9,542,2256,456,81
Highland,12.9,363,914,459,31
Niagara,12.9,579,1633,460,93
Pepin,12.89,897,796,467,191
Strum,12.88,256,972,469,20
Westfield,12.87,544,1276,471,82
Iron Ridge,12.87,436,927,472,42
Edgar,12.87,224,1561,477,17
Blanchardville,12.85,447,805,479,46
Whitehall,12.85,767,1661,480,151
Crandon,12.85,1457,1843,481,256
New London,12.84,902,7091,487,192
New Holstein,12.83,844,3223,494,172
Darlington,12.83,795,2284,496,159
Merrill,12.83,1488,9491,497,260
Darien,12.83,769,1598,499,152
Denmark,12.82,179,2172,501,9
Princeton,12.81,730,1187,505,139
Eleva,12.8,482,735,509,59
Frederic,12.78,476,1032,518,55
Ellsworth,12.77,972,3248,525,203
Waterloo,12.77,489,3346,526,61
Rib Lake,12.77,111,1025,528,5
Tomahawk,12.76,1206,3335,529,234
Fox Lake,12.75,469,1544,535,51
Theresa,12.74,1196,1236,536,233
Sturtevant,12.74,509,6981,540,69
Manawa,12.74,577,1273,542,91
Racine,12.74,2412,78347,543,294
Valders,12.73,194,1042,547,13
Delavan,12.73,1410,8467,548,252
Palmyra,12.72,1494,1668,549,262
Endeavor,12.72,243,464,551,18
Albany,12.72,1246,1167,553,239
Sharon,12.71,640,1607,557,109
Chilton,12.7,645,3953,566,110
Boscobel,12.67,1319,3201,570,246
Algoma,12.67,1045,3152,573,218
Antigo,12.66,2054,8075,579,289
West Milwaukee,12.65,3808,4214,580,296
Marion,12.65,685,1171,581,121
Woodruff,12.64,682,896,586,118
Athens,12.62,545,1008,591,83
Juneau,12.62,685,2750,593,120
Berlin,12.6,1064,5451,595,220
Clintonville,12.6,1641,4516,597,273
Siren,12.6,2016,811,600,286
Shiocton,12.59,380,916,601,35
North Fond Du Lac,12.59,687,5000,607,122
Beloit,12.57,2045,36876,617,287
Elroy,12.55,888,1385,624,185
Markesan,12.54,651,1510,626,114
Blair,12.48,878,1299,640,180
New Lisbon,12.47,539,2545,643,79
Gillett,12.44,912,1417,653,195
Avoca,12.41,868,625,661,177
Mauston,12.4,1807,4446,664,279
Adams,12.4,1892,1570,665,283
Readstown,12.38,195,409,670,14
Waupun,12.37,782,11336,673,156
Mayville,12.36,492,5086,676,64
Independence,12.36,396,1557,677,39
Oxford,12.34,1030,634,680,215
Barron,12.33,904,3392,683,193
Stanley,12.31,712,3606,687,131
Neshkoro,12.3,532,406,691,77
Wautoma,12.27,1111,2010,700,222
Plainfield,12.2,562,981,713,86
Arcadia,11.97,578,2953,734,92
