city,population,average_education_index,crime_index,sixteen_plus_employed_percentage,house_median_value,edu_index_norm
Chippewa Falls,13803,13.33,806,79.5,116600,0.7582480091012515
Cumberland,2414,13.32,779,79.2,118800,0.7576791808873721
Westby,2246,13.32,719,75.5,106500,0.7576791808873721
Kenosha,99709,13.31,1500,76.8,143900,0.7571103526734927
Genoa City,3032,13.31,536,73.9,150700,0.7571103526734927
Kewaunee,2925,13.3,592,82.4,98800,0.7565415244596133
West Allis,60595,13.3,2051,81.4,145500,0.7565415244596133
Ripon,7699,13.29,724,81.1,116600,0.7559726962457338
Marshall,3912,13.27,714,71.6,150500,0.7548350398179751
Butler,1746,13.26,1283,87.5,170800,0.7542662116040956
Bloomer,3558,13.26,527,74.9,125500,0.7542662116040956
Kewaskum,4030,13.25,480,76.7,186000,0.7536973833902162
Seymour,3449,13.24,565,72.8,142800,0.7531285551763368
Rhinelander,7642,13.24,1389,82.3,84800,0.7531285551763368
Eagle River,1647,13.24,2193,81.2,149800,0.7531285551763368
Wisconsin Dells,2369,13.23,4670,80.8,159900,0.7525597269624574
Portage,10227,13.21,1149,79.5,132700,0.7514220705346987
Hayward,1951,13.21,2407,82.2,129100,0.7514220705346987
Mishicot,1349,13.2,107,81.3,114400,0.7508532423208192
Spooner,2634,13.19,1592,79.9,98800,0.7502844141069398
Wisconsin Rapids,18162,13.19,1601,79.2,85900,0.7502844141069398
Monroe,10807,13.19,993,80.2,124200,0.7502844141069398
Green Bay,104574,13.19,1619,78.3,128000,0.7502844141069398
South Milwaukee,21210,13.19,1000,80.4,157500,0.7502844141069398
Durand,1755,13.19,280,85.1,111600,0.7502844141069398
Luxemburg,2557,13.18,319,69.6,157700,0.7497155858930603
Manitowoc,33443,13.18,1024,81.6,107000,0.7497155858930603
Beaver Dam,16331,13.18,969,77.9,117000,0.7497155858930603
Tomah,9281,13.18,1672,76.9,111700,0.7497155858930603
Bangor,1523,13.17,559,77.6,132700,0.7491467576791809
Campbellsport,1906,13.17,308,78.8,150800,0.7491467576791809
Baraboo,12046,13.15,1477,80.8,140700,0.7480091012514222
Amery,2890,13.14,950,82.5,120100,0.7474402730375428
Rice Lake,8353,13.14,1633,83.2,109000,0.7474402730375428
Two Rivers,11577,13.13,833,80.2,94400,0.7468714448236634
Marathon,1472,13.13,879,82.6,138000,0.7468714448236634
Marinette,10890,13.11,1304,80.8,78100,0.7457337883959044
Black River Falls,3591,13.09,1403,82.7,119300,0.7445961319681457
Cudahy,18321,13.09,1493,78.9,154800,0.7445961319681457
Omro,3541,13.08,510,71.7,137100,0.7440273037542663
Waupaca,6016,13.07,1486,80,111200,0.7434584755403869
Reedsburg,9411,13.07,896,75.6,125400,0.7434584755403869
Grantsburg,1227,13.06,955,80.5,96100,0.7428896473265075
Brillion,3183,13.06,367,73,124400,0.7428896473265075
Prairie Du Chien,5829,13.05,1112,82.5,105300,0.7423208191126281
Hurley,1570,13.04,1919,82,60900,0.7417519908987485
Dane,1154,13.03,8,73.2,198500,0.7411831626848692
Medford,4349,13.03,1340,82.3,107400,0.7411831626848692
Lomira,2340,13.03,936,78.6,143400,0.7411831626848692
Cashton,1034,13.03,135,77.1,98500,0.7411831626848692
Shawano,9202,13.03,1879,78.6,102400,0.7411831626848692
Ladysmith,3327,13.02,1051,79.6,86100,0.7406143344709898
Cornell,1401,13.02,798,81.7,98900,0.7406143344709898
Phillips,1505,13.01,1719,82.7,84900,0.7400455062571104
Chetek,2413,13.01,785,79.4,112200,0.7400455062571104
Sheboygan,48918,13,1563,78,111800,0.739476678043231
Milwaukee,598078,12.99,3757,76.2,121600,0.7389078498293516
Brodhead,3285,12.99,789,79.5,110000,0.7389078498293516
Oconto,4510,12.99,1535,84,90400,0.7389078498293516
Hillsboro,1412,12.98,197,81.4,85500,0.7383390216154723
Sparta,9610,12.97,1422,79.3,105600,0.7377701934015928
Peshtigo,3481,12.97,706,82.6,97700,0.7377701934015928
Mondovi,2723,12.95,598,79.6,101300,0.7366325369738339
Montello,1494,12.94,925,85.9,111200,0.7360637087599545
Jefferson,7968,12.94,1270,77.8,149300,0.7360637087599545
Kiel,3757,12.94,766,77.6,126700,0.7360637087599545
Oconto Falls,2859,12.93,865,79.2,105400,0.7354948805460751
Clinton,1997,12.92,519,81.6,123700,0.7349260523321958
Spencer,1914,12.92,474,80.8,101400,0.7349260523321958
Neillsville,2287,12.91,897,83.3,87700,0.7343572241183164
Horicon,3658,12.91,614,78.9,120200,0.7343572241183164
Park Falls,2256,12.9,542,83.8,75100,0.7337883959044369
Niagara,1633,12.9,579,74.4,63000,0.7337883959044369
Westfield,1276,12.87,544,70.2,104300,0.7320819112627986
Edgar,1561,12.87,224,75.7,127000,0.7320819112627986
Whitehall,1661,12.85,767,79.8,116300,0.7309442548350399
Crandon,1843,12.85,1457,79.8,109100,0.7309442548350399
New London,7091,12.84,902,78.1,110800,0.7303754266211605
New Holstein,3223,12.83,844,84.1,111600,0.7298065984072811
Darlington,2284,12.83,795,79.9,89700,0.7298065984072811
Merrill,9491,12.83,1488,80.1,86300,0.7298065984072811
Darien,1598,12.83,769,80.3,145300,0.7298065984072811
Denmark,2172,12.82,179,75.7,135000,0.7292377701934016
Princeton,1187,12.81,730,77.3,82200,0.7286689419795223
Frederic,1032,12.78,476,79.2,98000,0.726962457337884
Ellsworth,3248,12.77,972,74.2,157700,0.7263936291240046
Waterloo,3346,12.77,489,80.7,149900,0.7263936291240046
Rib Lake,1025,12.77,111,75.9,85500,0.7263936291240046
Tomahawk,3335,12.76,1206,79.6,136200,0.7258248009101252
Fox Lake,1544,12.75,469,82.6,120900,0.7252559726962458
Theresa,1236,12.74,1196,76.5,120700,0.7246871444823664
Sturtevant,6981,12.74,509,81.7,141300,0.7246871444823664
Manawa,1273,12.74,577,80,93600,0.7246871444823664
Racine,78347,12.74,2412,74.8,114800,0.7246871444823664
Valders,1042,12.73,194,77.9,112700,0.724118316268487
Delavan,8467,12.73,1410,76.4,148100,0.724118316268487
Palmyra,1668,12.72,1494,80.9,155200,0.7235494880546076
Albany,1167,12.72,1246,77.6,125600,0.7235494880546076
Sharon,1607,12.71,640,75.4,140600,0.7229806598407282
Chilton,3953,12.7,645,79,130900,0.7224118316268487
Boscobel,3201,12.67,1319,85.9,88000,0.7207053469852105
Algoma,3152,12.67,1045,79.6,97100,0.7207053469852105
